title,availability,price,category,shop,weight
Шкаф медицинский ШМД-01,1,25 800 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМД-02,1,26 980 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМД-05,1,34 240 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский М1 165.57.32 C,1,12 680 руб.,Медицинская мебель,Железная мебель,['28']
Шкаф медицинский М1 175.60.40 C,1,16 210 руб.,Медицинская мебель,Железная мебель,['31']
Шкаф медицинский двухсекционный одностворчатый ШМ СКБ-1М,1,22 660 руб.,Медицинская мебель,Железная мебель,['40.2']
Шкаф медицинский односекционный одностворчатый ШМ1 СКБ-М,1,22 620 руб.,Медицинская мебель,Железная мебель,['39']
Шкаф медицинский двухсекционный одностворчатый ШМС СКБ-1СМ,1,23 080 руб.,Медицинская мебель,Железная мебель,['42.3']
Шкаф медицинский двухсекционный одностворчатый ШМСт СКБ-Д,1,21 030 руб.,Медицинская мебель,Железная мебель,['36.3']
Шкаф медицинский МСК-5646.01-11 (ШМ-03) нерж.сталь,1,93 610 руб.,Медицинская мебель,Железная мебель,['39']
Шкаф медицинский односекционный стеллаж-ящик ШМСт СКБ-Я,1,32 490 руб.,Медицинская мебель,Железная мебель,['51.2']
Шкаф медицинский двухсекционный одностворчатый с ящиками ШМЯ СКБ-1С,1,33 730 руб.,Медицинская мебель,Железная мебель,['57.5']
Шкаф медицинский - стеллаж ШМСт СКБ-1,0,18 610 руб.,Медицинская мебель,Железная мебель,['32.3']
Шкаф медицинский двухсекционный одностворчатый ШМЛС СКБ,1,11 670 руб.,Медицинская мебель,Железная мебель,['44']
Шкаф медицинский двухсекционный одностворчатый ШМЛ СКБ,1,12 190 руб.,Медицинская мебель,Железная мебель,['44']
Шкаф медицинский одностворчатый двухсекционный с ящиками ШМЛЯ СКБ-С,1,14 250 руб.,Медицинская мебель,Железная мебель,['45.6']
